member_name,sitting_date,parliamentary_period,parliamentary_session,parliamentary_sitting,political_party,government,member_region,roles,member_gender,speech
μπουρας κωνσταντινου αθανασιος,17/07/2026,period 20,session 3,sitting 164,νεα δημοκρατια,['μητσοτακη κυριακου(26/06/2023-19/07/2026)'],β' δυτικης αττικης,['βουλευτης'],male," Καλησπέρα σας, κυρίες και κύριοι συνάδελφοι. Αρχίζει η συνεδρίαση. ("
λαμπροπουλος δημητριου ιωαννης,17/07/2026,period 20,session 3,sitting 164,νεα δημοκρατια,['μητσοτακη κυριακου(26/06/2023-19/07/2026)'],μεσσηνιας,['υφυπουργος προστασιας του πολιτη(14/03/2025-19/07/2026)'],male," Ευχαριστώ, κύριε Πρόεδρε. Κυρία Πέρκα, κύριοι συνάδελφοι, θέλω καταρχάς να εκφράσω τα συλλυπητήριά μας στην οικογένεια του θύματος για το γεγονός που συνέβη στην περιοχή του Άργους.Οι αστυνομικοί δεν λειτούργησαν σωστά. Υπερέβησαν τα όρια, χάθηκε η ζωή ενός νέου ανθρώπου. Σύμφωνα με την ανακοίνωση του Αρχηγείου της Ελληνικής Αστυνομίας, κατά τη διάρκεια ελέγχου οχήματος από αστυνομικούς της ΟΠΚΕ Αργολίδας στις 8-7-2026, ο οδηγός δεν συμμορφώθηκε στα σήματα στάσης των αστυνομικών, ανέπτυξε ταχύτητα, ενώ επιχείρησε να εμβολίσει τους αστυνομικούς. Ακολούθησε καταδίωξη, κατά την οποία ο ανωτέρω κινήθηκε με ιδιαίτερα επικίνδυνο τρόπο. Το όχημα, τελικά, εγκλωβίστηκε από περιπολικά και στη συνέχεια ο οδηγός εγκατέλειψε το όχημά του πεζός, επιχειρώντας να διαφύγει. Δύο αστυνομικοί έκαναν χρήση του υπηρεσιακού τους οπλισμού, με αποτέλεσμα τον θανάσιμο τραυματισμό του. Κλήθηκε άμεσα το ΕΚΑΒ, το οποίο τον μετέφερε στο νοσοκομείο, ενώ στη συνέχεια διακομίστηκε σε νοσοκομείο της Αττικής.Για το περιστατικό ενημερώθηκε άμεσα ο αρμόδιος Εισαγγελέας. Οι δύο εμπλεκόμενοι αστυνομικοί συνελήφθησαν εντός του αυτοφώρου, αμέσως και τους ασκήθηκε ποινική δίωξη. Από το Αρχηγείο διατάχθηκε η διενέργεια ένορκης διοικητικής εξέτασης. Το υλικό της ΕΔΕ -μετά την ολοκλήρωσή της- θα αποσταλεί, όπως πάντα γίνεται και στον Συνήγορο του Πολίτη. Οι δύο εμπλεκόμενοι αστυνομικοί προφυλακίστηκαν και τέθηκαν άμεσα σε διαθεσιμότητα.Όσον αφορά το ζήτημα της εκπαίδευσης των αστυνομικών, τα χρόνια της εκπαίδευσης διδάσκονται και νομοθεσία περί της χρήσης των πυροβόλων όπλων. Οι κανόνες χρήσης των πυροβόλων όπλων από αστυνομικούς προβλέπονται στο άρθρο 3 του ν.3169/2003. Οι συγκεκριμένοι αστυνομικοί -το λέμε και πάλι, το τονίζω- δεν τους εφάρμοσαν και θα υποστούν τις συνέπειες. Η δικαιοσύνη έχει τον λόγο."
μπουρας κωνσταντινου αθανασιος,17/07/2026,period 20,session 3,sitting 164,νεα δημοκρατια,['μητσοτακη κυριακου(26/06/2023-19/07/2026)'],β' δυτικης αττικης,['βουλευτης'],male," Ευχαριστούμε, τον κύριο Υπουργό. Τον λόγο έχει η κ. Πέρκα για τη δευτερολογία σας."
περκα χαραλαμπου θεοπιστη (πετη),17/07/2026,period 20,session 3,sitting 164,ανεξαρτητοι (εκτος κομματος),['μητσοτακη κυριακου(26/06/2023-19/07/2026)'],φλωρινας,['βουλευτης'],female," Ευχαριστώ, κύριε Πρόεδρε.Κύριε Υπουργέ, θα μπορούσα να δεχτώ την απάντησή σας εάν ήταν ένα μεμονωμένο περιστατικό. Δεν πρόκειται γι’ αυτό. Θα διαβάσω έναν κατάλογο, αλλά θέλω να πω το εξής: Το κράτος δικαίου είναι συνταγματική επιταγή. Δυστυχώς, η πραγματικότητα στην Ελλάδα το διαψεύδει. Ένας σοβαρός παράγοντας είναι η αστυνομική αυθαιρεσία, αυτά τα φαινόμενα, δηλαδή, βίας που μένουν και ατιμώρητα. Ανέφερα στην πρωτολογία μου για την κουλτούρα ατιμωρησίας κ.λπ.Ακούστε λίγο, μετά τον Μοχάμεντ Καμράν, που βρέθηκε νεκρός και γεμάτος σημάδια ακραίας κακοποίησης στο Αστυνομικό Τμήμα Αγίου Παντελεήμονα, ακολουθεί ο πυροβολισμός του εικοσάχρονου Σύριου. Στην Κρήτη το 2023 ο Κώστας Μανιουδάκης, χάνει τη ζωή του μετά από ξυλοδαρμό, κατά τη διάρκεια αστυνομικού ελέγχου. Συγχρόνως, η χώρα πλήττεται από μία πανδημία όπλων αστυνομικών που εκπυρσοκροτούν -κατά λάθος- πάνω σε σώματα νεαρών Ρομά: Νίκος Σαμπάνης, Κώστας Φραγκούλης, Χρήστος Μιχαλόπουλος. Και τώρα οι αστυνομικοί εκτέλεσαν στο Άργος αυτό το νέο παιδί, που δεν τους απειλούσε ούτε κατά διάνοια. Αλλά είχαμε και βίαιη καταστολή μέσα στα σπίτια. Στα Σεπόλια η οικογένεια Κατή, στο Κουκάκι η οικογένεια Ινδαρέ ξυλοκοπείται, αθωώνεται, αλλά οι αστυνομικοί δεν λογοδοτούν. Αυτό είναι το πιο επικίνδυνο σημείο για τους θεσμούς. Η ατιμωρησία, η ανεπαρκής διερεύνηση, η άρνηση λογοδοσίας της εξουσίας. Και βεβαίως, αν σε κάθε έγκλημα αστυνομικού κάνεις τα στραβά μάτια, ο επόμενος αστυνομικός θα το ξανακάνει.Σε συνέντευξη τύπου ο Κυβερνητικός Εκπρόσωπος αρνήθηκε να απαντήσει σε ερώτηση δημοσιογράφου για το εάν οι δύο αστυνομικοί που ξυλοκόπησαν τον Βασίλη Μάγγο, ο οποίος και απεβίωσε, έχουν όπλο και είναι ακόμα στο Σώμα. Δεν απάντησε αν και οι δύο αστυνομικοί που κατηγορούνται για ανθρωποκτονία στην υπόθεση Μανιουδάκη βρίσκονται ακόμα στην Αστυνομία. Αστυνομικοί που κατηγορούνται για πολύ σοβαρά εγκλήματα, συνεχίζουν κανονικά τη ζωή τους σαν να μη συνέβη τίποτα. Λειτουργούν ως ανεξέλεγκτοι «σερίφηδες», δολοφονούν νέα παιδιά και ξέρουν ότι το πολύ-πολύ να καταδικαστούν κάποτε με αναστολή. Αυτά είναι, όμως, τα αποτελέσματα του κυβερνητικού δόγματος «τάξη και ασφάλεια».Το αίτημα δε Υπουργών -γιατί αναφερθήκατε σε κανόνες εμπλοκής και Βουλευτών- να αλλάξουν οι κανόνες εμπλοκής, δείχνει πως η Κυβέρνηση της Νέας Δημοκρατίας θέλει όξυνση της αστυνομικής αυθαιρεσίας, με κίνδυνο, βεβαίως, να χαθούν πολλές ζωές από τις σφαίρες της Αστυνομίας.Εκτός, όμως, από την ακραία ρητορική κορυφαίων Υπουργών περί τάξης και ασφάλειας -τα ακούμε κάθε μέρα-, έχουμε και τον Δήμαρχο του Άργους και Μυκηνών, ο οποίος είναι και μέλος της πολιτικής επιτροπής της Νέας Δημοκρατίας, τον Ιωάννη Μαλτέζο. Με μία κατάπτυστη δήλωση, μισαναπηρική -αντέδρασε και ο κόσμος, το Αναπηρικό Κίνημα- έριξε το φταίξιμο στον δολοφονημένο και στη μητέρα του και έσπευσε να προσφέρει την απόλυτη και ειλικρινή του στήριξη στους δύο αστυνομικούς που έχουν ήδη προφυλακιστεί, αμφισβητώντας, βέβαια, ευθέως την κρίση της δικαιοσύνης.Εδώ η Νέα Δημοκρατία θέλω να απαντήσει εάν συντάσσεται με τις δηλώσεις του Δημάρχου και αν όχι, αν πρέπει να τον διαγράψει. Κύριε Υπουργέ, ζούμε σε μια δικαιοκρατούμενη, φιλελεύθερη δημοκρατία που η ανθρώπινη ζωή έχει υπέρτατη αξία και ο φόνος, ειδικά η εκδικητική χρήση φονικού όπλου είναι το χειρότερο έγκλημα με τη μεγαλύτερη απαξία και πάντως πολύ σοβαρότερο από το να μην σταματήσει κάποιος σε έναν αστυνομικό έλεγχο.Δεν έχετε σκοπό να εκδημοκρατίσετε τα Σώματα Ασφαλείας, ούτε να θέσετε στην εκπαίδευση των αστυνομικών στο επίκεντρο τα ανθρώπινα δικαιώματα, ούτε λόγος για διάλυσης των μονάδων πιστολέρο, ούτε καν κάμερες και αριθμοί ταυτοποίησης στα γιλέκα των αστυνομικών.Προχθές έγινε μια μεγαλειώδη συγκέντρωση με αφορμή αυτό το γεγονός..."
μπουρας κωνσταντινου αθανασιος,17/07/2026,period 20,session 3,sitting 164,νεα δημοκρατια,['μητσοτακη κυριακου(26/06/2023-19/07/2026)'],β' δυτικης αττικης,['βουλευτης'],male," Ευχαριστούμε την κ. Πέρκα.Ορίστε, κύριε Υπουργέ, έχετε τον λόγο για τη δευτερολογία σας."
λαμπροπουλος δημητριου ιωαννης,17/07/2026,period 20,session 3,sitting 164,νεα δημοκρατια,['μητσοτακη κυριακου(26/06/2023-19/07/2026)'],μεσσηνιας,['υφυπουργος προστασιας του πολιτη(14/03/2025-19/07/2026)'],male," Ευχαριστώ, κύριε Πρόεδρε.Κυρία Πέρκα, η Αστυνομία δρα και είναι υποχρεωμένη πάντοτε σύμφωνα με το Σύνταγμα και τους νόμους του κράτους και η συντριπτική πλειοψηφία των αστυνομικών δρα με αυτόν τον τρόπο. Κατά κανόνα το πράττει και το τηρεί. Σκοπός της είναι η προστασία της ζωής και της περιουσίας όλων των πολιτών. Όλων των πολιτών.Οι αστυνομικοί στο εν λόγω περιστατικό -επαναλαμβάνω- δεν λειτούργησαν νόμιμα και θεσμικά, δεν λειτούργησαν όπως έπρεπε. Δεν έπρεπε να τραβήξουν όπλο και να πυροβολήσουν, σε καμία περίπτωση! Υπάρχουν συγκεκριμένοι κανόνες εμπλοκής και οι διατάξεις για τη χρήση του όπλου είναι ξεκάθαρες, όπως προβλέπονται στον νόμο του 2003 και όπως διδάσκονται να το κάνουν όλοι οι αστυνομικοί.Καθημερινά πραγματοποιούνται δεκάδες, εκατοντάδες διώξεις σε όλη τη χώρα. Εκατοντάδες διώξεις. Ακολουθούν τα περιπολικά, μπροστά κάποιος που διώκεται. Δεν ακούμε πυροβολισμούς, δεν έχουμε σκοτωμούς. Καθημερινά γίνονται εκατοντάδες διώξεις, εκατοντάδες διώξεις. Δεν υπάρχει αμφιβολία σε αυτό. Προέχει πάντα η ανθρώπινη ζωή. Κανένας δεν τους λέει «πυροβολήστε». «Την ανθρώπινη ζωή, σεβαστείτε», αυτό είναι το άλφα και το ωμέγα για όλους μας. Και εδώ νομίζω ότι δεν υπάρχει αντίθετη άποψη και διαφωνία από κανέναν σοβαρό άνθρωπο και από πουθενά. Προέχει πάντα η ανθρώπινη ζωή, το λέω και πάλι. Η συγκεκριμένη ενέργεια δεν θα έπρεπε να έχει συμβεί. Για κάθε αξιόποινη συμπεριφορά αστυνομικού, αυτοί συλλαμβάνονται, οδηγούνται στη δικαιοσύνη και τους επιβάλλονται οι προβλεπόμενες πειθαρχικές και ποινικές διώξεις. Ενημερώνεται πάντοτε ο Εισαγγελέας και ο Συνήγορος του Πολίτη."
περκα χαραλαμπου θεοπιστη (πετη),17/07/2026,period 20,session 3,sitting 164,ανεξαρτητοι (εκτος κομματος),['μητσοτακη κυριακου(26/06/2023-19/07/2026)'],φλωρινας,['βουλευτης'],female, Είναι ακόμη στο Σώμα.
λαμπροπουλος δημητριου ιωαννης,17/07/2026,period 20,session 3,sitting 164,νεα δημοκρατια,['μητσοτακη κυριακου(26/06/2023-19/07/2026)'],μεσσηνιας,['υφυπουργος προστασιας του πολιτη(14/03/2025-19/07/2026)'],male," Ενημερώνονται όλες οι αρχές που πρέπει να ενημερωθούν. Και, όποτε καταγγέλλεται οιαδήποτε παρανομία, επιβάλλονται οι προβλεπόμενες κυρώσεις. Η πολιτική και η φυσική ηγεσία του Σώματος είναι ξεκάθαρες σε αυτό. Δεν χαρίζονται, δεν καλύπτουν και δεν συγκαλύπτουν κανέναν και για τίποτα ποτέ. Σας το λέμε ξεκάθαρα, η σημερινή πολιτική ηγεσία έχει αυτή την ξεκάθαρη θέση. Έτσι και στη συγκεκριμένη περίπτωση, οι αστυνομικοί συνελήφθησαν, προφυλακίστηκαν και τέθηκαν σε διαθεσιμότητα. Τώρα τον λόγο έχει η δικαιοσύνη. Περιμένουμε και είμαστε βέβαιοι για την ετυμηγορία της, την οποία θα σεβαστούμε και όλοι σεβόμαστε και πρέπει να σεβόμαστε σε ένα κράτος δικαίου και σε μια δημοκρατία. Ευχαριστώ, κύριε Πρόεδρε."
μπουρας κωνσταντινου αθανασιος,17/07/2026,period 20,session 3,sitting 164,νεα δημοκρατια,['μητσοτακη κυριακου(26/06/2023-19/07/2026)'],β' δυτικης αττικης,['βουλευτης'],male," Και εμείς ευχαριστούμε, κύριε Υπουργέ. Πριν προχωρήσουμε στην επόμενη επίκαιρη ερώτηση, να κάνω μια ανακοίνωση στο Σώμα. Κυρίες και κύριοι συνάδελφοι, θα ήθελα να σας ανακοινώσω ότι ο Βουλευτής κ. Μιλτιάδης Ζαμπάρας με την από 16 Ιουλίου 2026 επιστολή του προς τον Πρόεδρο της Βουλής, μας γνωστοποιεί την ανεξαρτητοποίησή του από την Κοινοβουλευτική Ομάδα «ΣΥΡΙΖΑ - Προοδευτική Συμμαχία».Η προαναφερθείσα επιστολή κατατίθεται στα Πρακτικά της σημερινής συνεδρίασης. (Η προαναφερθείσα επιστολή καταχωρίζεται στα Πρακτικά και έχει ως εξής:"
μπουρας κωνσταντινου αθανασιος,17/07/2026,period 20,session 3,sitting 164,νεα δημοκρατια,['μητσοτακη κυριακου(26/06/2023-19/07/2026)'],β' δυτικης αττικης,['βουλευτης'],male," Με την ευκαιρία αυτή, να καλωσορίσουμε και τη νέα συνάδελφο, την κ. Κοροβέση από την Ανατολική Αττική, την οποία και εγώ, πριν χωριστεί σε Ανατολική και Δυτική, για πολλά πολλά χρόνια υπηρέτησα ως Βουλευτής."
μπουρας κωνσταντινου αθανασιος,17/07/2026,period 20,session 3,sitting 164,νεα δημοκρατια,['μητσοτακη κυριακου(26/06/2023-19/07/2026)'],β' δυτικης αττικης,['βουλευτης'],male," Προχωράμε στη δεύτερη με αριθμό 1210/13-7-2026 επίκαιρη ερώτηση δεύτερου κύκλου του Βουλευτή Επικρατείας της Κοινοβουλευτικής Ομάδας «ΠΛΕΥΣΗ ΕΛΕΥΘΕΡΙΑΣ» κ. Αλεξάνδρου Καζαμία προς τον Υπουργό Προστασίας του Πολίτη με θέμα: «Δολοφονική αστυνομική βία και ρατσισμός οδήγησαν στον θάνατο ενός νέου με Αναπηρία-Αυτισμό στο Άργος». Κύριε συνάδελφε, κύριε Καζαμία, έχετε τον λόγο για την πρωτολογία σας."
καζαμιας στεφανου αλεξανδρος,17/07/2026,period 20,session 3,sitting 164,πλευση ελευθεριας - ζωη κωνσταντοπουλου,['μητσοτακη κυριακου(26/06/2023-19/07/2026)'],επικρατειας,['βουλευτης'],male," Ευχαριστώ, κύριε Πρόεδρε. Κύριε Υφυπουργέ, άκουσα προηγουμένως τις απαντήσεις σας στην κ. Πέρκα για το ίδιο θέμα, για το οποίο σας έθεσα και εγώ επίκαιρη ερώτηση, συγκεκριμένα, για τον θάνατο του εικοσάχρονου στην περιοχή του Άργους μετά από καταδίωξη αστυνομικών. Πραγματικά, θυμήθηκα τη θεωρία του «ανθρώπινου λάθους» που είχε αναπτύξει η Κυβέρνηση -και μάλλον συνεχίζει να υποστηρίζει- σε σχέση με το έγκλημα των Τεμπών. Είδατε πού κατέληξε αυτή η θεωρία.Και εσείς ήρθατε εδώ και η απάντησή σας στηρίχθηκε εξολοκλήρου στο γεγονός ότι οι αστυνομικοί αυτοί υπερέβαλαν, ξεπέρασαν τα όρια, ότι κανείς δεν τους λέει να πυροβολούν και ότι τελικά έγινε το λάθος. Είναι ιδιαιτέρως προβληματική αυτή η προσέγγιση. Έχουμε, κατ' αρχάς, μία τάση. Έχουμε διαρκείς περιπτώσεις θανάτων νέων ανθρώπων. Έχουμε την περίπτωση του Σαμπάνη το '21. Έχουμε την περίπτωση του Φραγκούλη το '22, ενός δεκαεξάχρονου παιδιού. Έχουμε την περίπτωση του Μιχαλόπουλου το '23, ενός δεκαεπτάχρονου παιδιού. Έχουμε την περίπτωση του Μανιουδάκη στα Χανιά, πενήντα οκτώ ετών. Όλοι αυτοί είναι θύματα αστυνομικής βίας. Είναι και περισσότεροι. Δεν μπορεί να υπάρχει η τάση και να μιλάμε για λάθος. Υπάρχει εδώ ένα θεσμικό πρόβλημα, απέναντι στο οποίο εθελοτυφλείτε.Δίπλα μου κάθεται κάθε μέρα η νονά του Αλέξανδρου Γρηγορόπουλου, η Βουλευτής μας, η Έλλη Ρούσσου. Θυμάστε πολύ καλά την περίπτωση της δολοφονίας του Αλέξανδρου Γρηγορόπουλου, για την οποία ξεσηκώθηκε όλη η χώρα για μήνες και μέχρι τώρα δεν έχει ξεχαστεί. Με τη στάση σας τροφοδοτείτε τέτοιες εξελίξεις και τέτοιες αυθαιρεσίες από την πλευρά της Αστυνομίας. Επίσης, πρόσεξα ότι δεν αναφερθήκατε καθόλου στον ρατσισμό. Ο ρατσισμός δεν είναι λάθος, είναι μια κουλτούρα, είναι ένα θεσμικό φαινόμενο το οποίο διαχέεται στην Ελληνική Αστυνομία. Ακούσατε το βίντεο των αστυνομικών που καταδίωκαν τον άτυχο εικοσάχρονο Θοδωρή; Είπαν: «Ήρεμα. Είναι κάτω ο Τουρκάλας. Καλέστε ασθενοφόρο». Γιατί «Τουρκάλας», κύριε Υπουργέ; Κύριε Υφυπουργέ, γιατί «Τουρκάλας»; Γιατί να λέγονται τέτοια πράγματα; Από πού προέρχονται αυτές οι εκφράσεις; Πώς νομιμοποιούνται αυτές οι εκφράσεις;Θα έπρεπε -και περιμένω να μας πείτε στην απάντησή σας- να έχετε λάβει προληπτικά μέτρα, ειδική εκπαίδευση και νομικές ενέργειες, ώστε να σταματήσετε τα φαινόμενα αυθαιρεσίας και αστυνομικής βίας. Έχουμε να κάνουμε με ένα δομικό φαινόμενο. Αναγνωρίστε το και κάντε κάτι."
μπουρας κωνσταντινου αθανασιος,17/07/2026,period 20,session 3,sitting 164,νεα δημοκρατια,['μητσοτακη κυριακου(26/06/2023-19/07/2026)'],β' δυτικης αττικης,['βουλευτης'],male," Και εμείς ευχαριστούμε τον κ. Καζαμία. Κύριε Υπουργέ, ο λόγος σε εσάς για την απάντησή σας."
λαμπροπουλος δημητριου ιωαννης,17/07/2026,period 20,session 3,sitting 164,νεα δημοκρατια,['μητσοτακη κυριακου(26/06/2023-19/07/2026)'],μεσσηνιας,['υφυπουργος προστασιας του πολιτη(14/03/2025-19/07/2026)'],male," Ευχαριστώ, κύριε Πρόεδρε. Θέλω και πάλι, κύριε Πρόεδρε, να εκφράσω τη λύπη μας και την αποδοκιμασία μας για το γεγονός. Η πολιτική ηγεσία του Υπουργείου Προστασίας του Πολίτη αποδοκίμασε την πράξη από την πρώτη στιγμή και με τον πιο ξεκάθαρο τρόπο. Οι αστυνομικοί δεν τήρησαν τον νόμο και τους κανόνες που ισχύουν για τη χρήση των όπλων. Σύμφωνα με την ανακοίνωση του Αρχηγείου της Αστυνομίας, το θύμα δεν συμμορφώθηκε στα σήματα στάσης των αστυνομικών, ανέπτυξε ταχύτητα και επιχείρησε να εμβολίσει τους αστυνομικούς. Ακολούθησε επικίνδυνη καταδίωξη, και το θύμα κινήθηκε με επικίνδυνο τρόπο. Επιχείρησε να διαφύγει. Δεν έπρεπε να υπάρξει χρήση όπλου και τραυματισμός, μάλιστα από δύο έμπειρους αστυνομικούς, οι οποίοι είχαν πάνω από είκοσι χρόνια υπηρεσίας ο καθένας. Ο Εισαγγελέας ενημερώθηκε άμεσα. Οι δύο αστυνομικοί συνελήφθησαν εντός των ορίων του αυτοφώρου, χωρίς να περάσει το παραμικρό χρονικό διάστημα. Ασκήθηκε ποινική δίωξη. Είχε την υπόθεση στα χέρια του ο Εισαγγελέας πλέον, η δικαιοσύνη. Διατάχθηκε άμεσα Ένορκη Διοικητική Εξέταση από το Αρχηγείο. Το πόρισμα αυτής διαβιβάζεται άμεσα στον Συνήγορο του Πολίτη, και δεν νομίζω να αμφιβάλλει κανείς για την αξιοπιστία της Αρχής αυτής. Οι αστυνομικοί προφυλακίστηκαν, τέθηκαν σε διαθεσιμότητα και τον λόγο έχει πλέον η δικαιοσύνη. Υπάρχει ξεκάθαρη νομοθεσία του 2003, η οποία προβλέπει και διδάσκεται στις Σχολές της Αστυνομίας το πότε ο αστυνομικός κάνει χρήση του όπλου του, πώς συμπεριφέρεται, πώς αμύνεται και ποιοι είναι οι κανόνες της όποιας εμπλοκής. Δεν τηρήθηκαν. Είμαστε ξεκάθαροι. Θα υποστούν τις συνέπειες. Επαναλαμβάνω, η δικαιοσύνη έχει τον λόγο."
μπουρας κωνσταντινου αθανασιος,17/07/2026,period 20,session 3,sitting 164,νεα δημοκρατια,['μητσοτακη κυριακου(26/06/2023-19/07/2026)'],β' δυτικης αττικης,['βουλευτης'],male," Ευχαριστούμε τον κύριο Υπουργό. Κύριε Καζαμία, έχετε τον λόγο για τη δευτερολογία σας."
