member_name,sitting_date,parliamentary_period,parliamentary_session,parliamentary_sitting,political_party,government,member_region,roles,member_gender,speech
καζαμιας στεφανου αλεξανδρος,17/07/2026,period 20,session 3,sitting 164,πλευση ελευθεριας - ζωη κωνσταντοπουλου,['μητσοτακη κυριακου(26/06/2023-19/07/2026)'],επικρατειας,['βουλευτης'],male," Ευχαριστώ, κύριε Πρόεδρε. Κύριε Υφυπουργέ, επιδίδεστε σε μια περιπτωσιολογία. Αυτό που έγινε στο Άργος δεν είναι μεμονωμένη περίπτωση. Δεύτερον, έχετε μια προσέγγιση στο θέμα η οποία ενθαρρύνει την ατιμωρησία. Αντιμετωπίστε το θέμα του δομικού ρατσισμού, για το οποίο δεν απαντάτε. Δεν άκουσα κουβέντα για αυτό που σας είπα, ότι τον είπε «Τουρκάλα». Γιατί; Από πού προκύπτουν αυτά τα φαινόμενα; Ενδιαφερθήκατε ποτέ;Οι ΟΠΚΕ, οι Ομάδες Πρόληψης Εγκλήματος -έτσι λέγονται, αλλά απ’ ό,τι φαίνεται, θέλετε να τις εκθρέψετε και να τις κάνετε ομάδες πρόκλησης εγκλήματος- θα έπρεπε να έχουν ειδική εκπαίδευση κατά του ρατσισμού. Φαίνεται πως δεν έχουν. Είναι διάχυτος ο ρατσισμός στην ΕΛΑΣ. Και αυτό το ξέρετε και κάνετε πως έχουμε μια μεμονωμένη περίπτωση λάθους. Ο κ. Χρυσοχοΐδης μίλησε για υπερβολή. Αλήθεια, υπερβολή ήταν αυτό; Γιατί υπερβολή είναι ότι κάνεις κάτι σωστό. Στην απάντησή σας πάλι το υπονοήσατε, ότι υπήρξε μία συνθήκη που δικαιολογούσε, αλλά ξέφυγε από τον έλεγχο. Δεν είναι έτσι. Δεν είναι υπερβολή. Δεν είναι ότι οι αστυνομικοί αυτοί, με βάση τα δεδομένα, ακολουθούσαν μία ορθή προσέγγιση και τους ξέφυγε η κατάσταση στο τέλος. Από την αρχή υπάρχει λάθος. Υπάρχει αστυνομική βία, αυθαιρεσία και από την ηγεσία του Υπουργείου μια κουλτούρα ατιμωρησίας και συμπαράστασης. Σας είπαμε να καταδικάσετε και τον Δήμαρχο Άργους που πρόσκειται στη Νέα Δημοκρατία και δεν ανοίγετε το στόμα σας. Γιατί; Γιατί θέλετε να λέγονται και αυτά, ότι οι αστυνομικοί είναι οικογενειάρχες -έτσι είπε ο Δήμαρχος- και δεν πρέπει να πάψουμε να τους στηρίζουμε. Αυτά είναι εντάξει με την ηγεσία του Υπουργείου. Θα πρέπει να τα καταδικάσει ευθαρσώς. Και όμως, δεν το κάνετε. Έπειτα έχετε μία αντίληψη ότι η δικαιοσύνη θα λύσει τα προβλήματα. Αλήθεια; Πρέπει να υπάρχουν προληπτικές διοικητικές αποφάσεις. Έχετε ευθύνη. Δεν μπορεί να σκοτώνονται τα νέα παιδιά δεκαέξι, δεκαεπτά, δεκαοκτώ χρόνων από αστυνομική βία και αυθαιρεσία και εσείς να λέτε ότι θα επιληφθεί του θέματος η δικαιοσύνη. Η δικαιοσύνη έρχεται κατόπιν εορτής, μετά την καταστροφή. Εσείς είστε Κυβέρνηση. Πρέπει να αποφύγετε την καταστροφή, όχι να πλένετε τα χέρια και να λέτε ότι έγινε λάθος. Πού ξέρετε εσείς ότι έγινε μόνο λάθος; Ξέρετε αν αυτοί οι αστυνομικοί ήταν κατάλληλοι; Γιατί μπορεί και να μην ήταν κατάλληλοι. Και θα έπρεπε αυτό να διερευνηθεί. Ξέρετε αν υπάρχει μια ολόκληρη κουλτούρα από πίσω μέσα στο Σώμα, η οποία τροφοδοτεί αυτές τις αυθαιρεσίες και τις ακρότητες και τον ρατσισμό; Είκοσι μία σφαίρες φαίνεται πως πυροβολήθηκαν. Γιατί; Λάθος είναι αυτό ή υπάρχει μια κουλτούρα που αιτιολογεί την κατάχρηση της βίας και του όπλου από τους αστυνομικούς; Αυτά θα έπρεπε να σας προβληματίζουν και να μην έρχεστε εδώ στη Βουλή και να μας λέτε ότι τα καταδικάζουμε και ότι θα επιληφθεί η δικαιοσύνη και λυπούμαστε πάρα πολύ. Δεν φτάνει η λύπη σας. Έχετε ευθύνη. Και δεν αναλαμβάνετε αυτή την ευθύνη. Έχετε ευθύνη απέναντι στην κοινωνία. Η κοινωνία περιμένει η αστυνομία να την προστατεύει και όχι να σκοτώνει τα παιδιά της. Οι διαδηλωτές βγαίνουν στους δρόμους, στα Προπύλαια προχθές, στο Άργος -και ποιος ξέρει τι άλλες κινητοποιήσεις πρόκειται να γίνουν- και μιλάνε για ένα κράτος που σκοτώνει τα παιδιά του. Γιατί είστε μέρος αυτού του κράτους; Γιατί προεδρεύετε σε μία Κυβέρνηση και σε ένα Υπουργείο το οποίο προκαλεί θανάτους;"
μπουρας κωνσταντινου αθανασιος,17/07/2026,period 20,session 3,sitting 164,νεα δημοκρατια,['μητσοτακη κυριακου(26/06/2023-19/07/2026)'],β' δυτικης αττικης,['βουλευτης'],male," Ευχαριστούμε τον κ. Καζαμία. Κύριε Υπουργέ, έχετε τον λόγο για τη δευτερολογία σας."
λαμπροπουλος δημητριου ιωαννης,17/07/2026,period 20,session 3,sitting 164,νεα δημοκρατια,['μητσοτακη κυριακου(26/06/2023-19/07/2026)'],μεσσηνιας,['υφυπουργος προστασιας του πολιτη(14/03/2025-19/07/2026)'],male," Ευχαριστώ, κύριε Πρόεδρε. Κύριε Βουλευτά, το επαναλαμβάνω να το ακούσει όλος ο κόσμος. Από την πρώτη στιγμή, η πολιτική ηγεσία του Υπουργείου Προστασίας του Πολίτη αποδοκίμασε -και αποδοκιμάζει- με ξεκάθαρο τρόπο την πράξη των δύο αστυνομικών. Δεν ενθαρρύνει -και αυτό δεν το υπονόησε ούτε με πράξεις της ούτε με τίποτε, ποτέ, μα, ποτέ- έκνομες ενέργειες. Είναι ένα εξαιρετικά λυπηρό γεγονός για όλη την αστυνομία, για όλο το Σώμα. Οι δύο αστυνομικοί παραβίασαν τον νόμο και τους κανόνες χρήσης των όπλων. Ξεκάθαρα πράγματα. Κάθε μέρα, σημειώνονται δεκάδες καταδιώξεις. Πού επαναλαμβάνονται τα κρούσματα δολοφονικής βίας; Τόσες διώξεις γίνονται. Αν γινόταν αυτά που λέτε, θα έπρεπε να έχουμε σκοτωμούς κάθε μέρα. Κάθε μέρα, γίνονται δεκάδες διώξεις. Μην υπερβάλλουμε. Λυπούμαστε. Ήταν κακό αυτό που έγινε. Όμως, μην τσουβαλιάζουμε όλη την Αστυνομία. Πού βλέπετε τον θεσμικό -το γράφετε και στην ερώτησή σας- ρατσισμό; Δεν είναι ρατσιστές οι αστυνομικοί. Εξήντα χιλιάδες άνθρωποι είναι ρατσιστές στην κοινωνία μας, στο Σώμα της Ελληνικής Αστυνομίας; Διώκουν τον ρατσισμό. Όταν καταγγέλλεται τον διώκουν. Και η νομοθεσία μας είναι πολύ αυστηρή, όταν καταγγέλλεται κάτι τέτοιο. Κι έχουμε πολλές περιπτώσεις και πολλούς που έχουν οδηγηθεί στις φυλακές, γιατί κάποιοι αστυνομικοί τους συνέλαβαν. Τους καταδίωξαν, τους συνέλαβαν, πήγαν στη δικαιοσύνη. Από τη δικαιοσύνη περιμένουμε, κύριε Καζαμία, να αποφασίσει. Ποιος θα επιβάλει δικαιοσύνη; Εγώ; Εσείς; Ο τρίτος; Αυτή είναι δουλειά της δικαιοσύνης. Μην λέμε κουβέντες που θίγουν τον θεσμό, που κλονίζουν την εμπιστοσύνη της κοινωνίας μας στη δικαιοσύνη. Αν πέσει αυτός ο θεσμός, αν κλονιστεί στην κοινωνία μας αυτός ο θεσμός, τότε κλονίζεται η δημοκρατία μας. Δεν επαναλαμβάνονται κρούσματα βίας καθημερινά με τόσες διώξεις που γίνονται. Η συντριπτική πλειοψηφία των αστυνομικών μας εργάζεται σκληρά και σύμφωνα με τους νόμους και με το Σύνταγμα. Όποιοι -επαναλαμβάνω- αστυνομικοί παρανομούν ή ενεργούν για οτιδήποτε αντίθετα προς τους νόμους υφίστανται τις συνέπειες, πειθαρχικές και ποινικές, και οδηγούνται στη δικαιοσύνη. Γι’ αυτήν την υπόθεση -επαναλαμβάνω- έχει η δικαιοσύνη τον λόγο.Μία κακιά και καταδικαστέα πράξη δεν πρέπει να ακυρώνει το έργο και την προσφορά στην κοινωνία και τις επιτυχίες των αστυνομικών μας. Ευχαριστώ, κύριε Πρόεδρε."
μπουρας κωνσταντινου αθανασιος,17/07/2026,period 20,session 3,sitting 164,νεα δημοκρατια,['μητσοτακη κυριακου(26/06/2023-19/07/2026)'],β' δυτικης αττικης,['βουλευτης'],male," Κι εμείς ευχαριστούμε, κύριε Υπουργέ. Στη συνέχεια, θα συζητηθεί η πέμπτη με αριθμό 209/13-7-2026 επίκαιρη ερώτηση πρώτου κύκλου της Βουλευτού Β2΄ Δυτικού Τομέα Αθηνών της Κ.Ο. Πλεύση Ελευθερίας κυρίας Γεωργίας   Κεφαλά προς την Υπουργό Εργασίας και Κοινωνικής Ασφάλισης με θέμα: «Θεσμική κατοχύρωση της εργασίας στις ψηφιακές πλατφόρμες και προστασία των αυτοαπασχολούμενων διανομέων».Όπως ήδη έχω προαναφέρει, στην επίκαιρη ερώτηση θα απαντήσει ο Υφυπουργός Εργασίας και Κοινωνικής Ασφάλισης, ο κ. Κωνσταντίνος Καραγκούνης. Κυρία Κεφαλά, έχετε τον λόγο για την πρωτολογία σας."
κεφαλα ηλια γεωργια (τζωρτζια),17/07/2026,period 20,session 3,sitting 164,πλευση ελευθεριας - ζωη κωνσταντοπουλου,['μητσοτακη κυριακου(26/06/2023-19/07/2026)'],β2' δυτικου τομεα αθηνων,['βουλευτης'],female," Ευχαριστώ, κύριε Πρόεδρε. Καλημέρα σε όλους. Αν και πιστεύω ότι δεν θα είναι και πολύ καλή η μέρα για τους ανθρώπους που είναι έξω στον δρόμο με καύσωνα και προσπαθούν να κάνουν τη δουλειά τους μέσα σε μία έλλειψη θεσμικού πλαισίου, την οποία εδώ και τέσσερα χρόνια εξακολουθείτε να στηρίζετε και να έχετε τους ανθρώπους αυτούς σε μία επισφαλή συνθήκη εργασίας. Και δεν κινδυνεύουν, φυσικά, μόνο τα εργασιακά τους δικαιώματα, αλλά κινδυνεύει και η ίδια τους τη ζωή έξω στο δρόμο. Μιλάμε τώρα για πάνω από είκοσι χιλιάδες ανθρώπους που ουσιαστικά κάνουν αυτή τη δουλειά και ζητάνε αυτά τα τέσσερα χρόνια -γιατί τα σωματεία τους από την Αχαΐα, τη Θεσσαλονίκη, την Αττική έχουν στείλει επιστολές, ακόμα και στον ίδιο τον Πρωθυπουργό- τα αυτονόητα, δηλαδή, θεσμοθέτηση επαγγελματικού πλαισίου, έκδοση κάρτας οδηγού, διανομέα, δημιουργία ΚΑΔ, που δεν υπάρχει, και πολλά άλλα. Η ερώτησή μας, όμως, κύριε Υφυπουργέ, είναι η εξής: Γιατί ενώ έχουμε την Ευρωπαϊκή Οδηγία 2024/2831 για τη βελτίωση των συνθηκών εργασίας στις πλατφόρμες και στις 12 Ιουνίου 2026 η 114η Σύνοδος της Διεθνούς Διάσκεψης Εργασίας στη Γενεύη υιοθέτησε τη νέα Σύμβαση 193 της ΔΟΕ, η οποία θέτει ως θεμελιώδη προτεραιότητα την αξιοπρεπή εργασία στην οικονομία των πλατφορμών, εσείς δεν έχετε κάνει κάτι, ώστε πραγματικά να φέρετε το αυτονόητο στις ζωές και στις εργασίες αυτών των ανθρώπων;Νομίζω ότι δεν υπάρχουν πια δικαιολογίες. Ρωτώ συγκεκριμένα πράγματα: Ποιο είναι το ακριβές χρονοδιάγραμμα για την πλήρη ενσωμάτωση της Οδηγίας αυτής, όπως και για την προσαρμογή της ελληνικής νομοθεσίας στη νέα Σύμβαση 193; Θα θέλαμε να μας πείτε άμεσα για τη θέσπιση ολοκληρωμένου πλαισίου -οι άνθρωποι αγωνιούν και το ζητούν- για την επαγγελματική τους αναγνώριση και την αλγοριθμική διαφάνεια, καθώς ο αλγόριθμος είναι το αόρατο αφεντικό στους ανθρώπους αυτούς, τους αξιολογεί και τους επιβραβεύει ή τους τιμωρεί. Μια εντελώς απαράδεκτη συνθήκη.Αναμένω, λοιπόν, την τοποθέτησή σας με σαφήνεια και συγκεκριμένες δεσμεύσεις, κύριε Υφυπουργέ. Ευχαριστώ."
μπουρας κωνσταντινου αθανασιος,17/07/2026,period 20,session 3,sitting 164,νεα δημοκρατια,['μητσοτακη κυριακου(26/06/2023-19/07/2026)'],β' δυτικης αττικης,['βουλευτης'],male," Και εμείς ευχαριστούμε την κ. Κεφαλά. Κύριε Υπουργέ, έχετε τον λόγο για την απάντησή σας."
καραγκουνης ανδρεα κωνσταντινος,17/07/2026,period 20,session 3,sitting 164,νεα δημοκρατια,['μητσοτακη κυριακου(26/06/2023-19/07/2026)'],αιτωλοακαρνανιας,['υφυπουργος εργασιας και κοινωνικης ασφαλισης(14/06/2024-19/07/2026)'],male," Ευχαριστώ πολύ, κύριε Πρόεδρε. Κυρία συνάδελφε, έχουμε συζητήσει πάρα πολλές φορές σχετική ερώτηση και με άλλους συναδέλφους. Έχω δώσει απαντήσεις, θα το κάνω και τώρα. Μιας και μιλάτε για θερμική καταπόνηση, ξέρετε, είμαστε η μόνη καινοτόμα Κυβέρνηση στην Ευρώπη. Γιατί, όπως ξέρετε, αυτή τη στιγμή υπάρχει ένα τεράστιο πρόβλημα στην Ευρώπη με χιλιάδες νεκρούς, επειδή ακριβώς, όπως καταλαβαίνουμε, είναι δύσκολο να αντιμετωπίσουν μια τόσο δύσκολη κατάσταση. Η Ελλάδα όμως, όπως και οι ίδιοι οι Υπουργοί πιστοποιούν και ειδικά ο Υπουργός της Γαλλίας το έχει αναφέρει, καινοτομεί σε αυτό το θέμα. Μόνο πέρυσι, για να ξέρετε, κάναμε δεκατρείς φορές παύση εργασιών, σε συνεργασία με το Υπουργείο Κλιματικής Αλλαγής, ώστε να μην εκτίθενται σε κίνδυνο αυτοί οι άνθρωποι, όσοι δουλεύουν σε εξωτερικούς χώρους και εξωτερικές εργασίες. Να θυμίσω ότι καμία κυβέρνηση στο παρελθόν δεν το είχε κάνει αυτό, ακόμη και αν ήταν από την Κεντροαριστερά. Βεβαίως αναφερόμαστε στην Κεντροαριστερά γιατί έχουν υπό μία έννοια -έτσι λένε τουλάχιστον- μια περισσότερη ευαισθησία. Δεν την είχαμε δει ποτέ αυτή την ευαισθησία. Τώρα το κάναμε πράξη. Για να ξέρουμε και τι λέμε. Δηλαδή, για εμάς αποτελεί τεράστια προτεραιότητα η υγεία και η ασφάλεια των εργαζομένων, γι’ αυτό και προβαίνουμε σε ρυθμίσεις και έχουμε ένα νομοθετικό πλαίσιο αρκετά ισχυρό για να αντιμετωπίσουμε αυτές τις ακραίες συνθήκες της κλιματικής αλλαγής και του καύσωνα. Θα προσπαθήσω πολύ γρήγορα να απαντήσω στην ερώτησή σας. Θα ξεκινήσω από το πρώτο το οποίο ρωτάτε. Προφανώς, δεν περιμέναμε αυτή την Οδηγία -η οποία είναι τώρα στη φάση ενσωμάτωσης και θα σας πω ακριβώς πού βρισκόμαστε- για να προχωρήσουμε στο νομοθετικό πλαίσιο. Πάλι και σε αυτό είναι καινοτόμα η χώρα μας στην Ευρώπη. Θα σας εξηγήσω τι ακριβώς προβλέπει ήδη από τον νόμο του Κωστή Χατζηδάκη του 2021.Όσον αφορά την Οδηγία 2831 του 2024 -όπως είπατε σωστά- έχει συγκροτηθεί η ομάδα εργασίας από τον Ιούλιο του 2025. Είμαστε από τις πρώτες χώρες της Ευρώπης που ξεκινήσαμε την ενσωμάτωση. Συνεδριάζει σε τακτά χρονικά διαστήματα. Είμαστε εντός του προβλεπόμενου από την Οδηγία χρονοδιαγράμματος, γιατί εδώ πρέπει να γίνει και μια δουλειά από τις ομάδες οι οποίες και παρακολουθούν τις εξελίξεις σε επίπεδο Ευρωπαϊκής Ένωσης, γιατί υπάρχουν συγκεκριμένα θεματικά εργαστήρια τα οποία γίνονται σε όλη την Ευρώπη. Τα οργανώνει η Ευρωπαϊκή Επιτροπή. Το τελευταίο εργαστήριο θα λάβει χώρα τον Οκτώβριο του 2026. Οπότε είμαστε σε φάση ενσωμάτωσης. Και, όπως είπα και πριν, για να απαντήσω αμέσως στο ερώτημά σας, είμαστε από τις πρώτες χώρες που το έχουμε κάνει και προφανώς προχωράει η διαδικασία της ενσωμάτωσης. Αυτό που σας είπα για τις πλατφόρμες διανομής το αντιμετωπίσαμε νομοθετικά με τον νόμο 4808/2021, όπου έχουμε εισάγει ρυθμίσεις πριν την έκδοση της ευρωπαϊκής Οδηγίας, προφανώς διευρύνοντας τα δικαιώματα υπέρ των εργαζομένων, χωρίς καμία απολύτως υποχώρηση σε ήδη κατοχυρωμένα δικαιώματα. Και επειδή το αναφέρετε -μάλλον θα έχω τον χρόνο, κύριε Πρόεδρε, να τα πω και στη συνέχεια, όσα προλάβω βεβαίως, γιατί είναι αρκετά-, το έχουμε πει με την Υπουργό, επειδή το πλαίσιο υπάρχει, και θα το αναλύσω και θα το εξειδικεύσω. Υπάρχει όμως και ο αριθμός 1555 για τις όποιες καταγγελίες γίνονται -και προφανώς αυτό θέλουμε να το κάνουμε-, αν υπάρχουν παράνομες πρακτικές από τους εργοδότες. Να σας πω μόνο ότι το 2025 έχουν διενεργηθεί συνολικά χίλιοι τετρακόσιοι τριάντα πέντε έλεγχοι σε επιχειρήσεις που απασχολούν διανομείς σε εστίαση, υπηρεσίες κούριερ, χονδρικό, λιανικό εμπόριο. Ελέγχθηκαν δύο χιλιάδες εβδομήντα εργαζόμενοι. Διαπιστώθηκε ότι από συνολικά εκατόν τριάντα έξι εργαζόμενες οι μεν πέντε θίγονται από τη μη καταβολή της πρόσθετης αποζημίωσης 15% -η γνωστή αποζημίωση- και οι υπόλοιπες εκατόν τριάντα μία από άλλες παραβάσεις των διατάξεων της εργατικής νομοθεσίας. Έχουν επιβληθεί διοικητικά πρόστιμα ύψους 604.750 ευρώ. Θέλω να πω ότι εξαιρετικά κρίσιμο είναι να γίνονται καταγγελίες."
μπουρας κωνσταντινου αθανασιος,17/07/2026,period 20,session 3,sitting 164,νεα δημοκρατια,['μητσοτακη κυριακου(26/06/2023-19/07/2026)'],β' δυτικης αττικης,['βουλευτης'],male," Κύριε Υπουργέ, δεν ακούγεστε. Θα πείτε τα υπόλοιπα στη δευτερολογία σας. Κύριε Κεφαλά, έχετε τον λόγο για τη δευτερολογία σας."
